Company,Employee_ID,Department_ID,Branch_ID,Age,Gender_Code,Experience_Years,Education_Level,Job_Level,Salary_INR,Bonus_INR,Overtime_Hours,Training_Hours,Projects_Assigned,Projects_Completed,Performance_Score,Attendance_Percent,Leaves_Taken,Late_Logins,Promotion_Count,Client_Rating,Sales_Target,Sales_Achieved,Customer_Tickets,Resolved_Tickets,Work_Hours_Month,Manager_ID,Team_Size,Travel_Days,Remote_Work_Days,Office_Floor,Desk_Number,Laptop_Age_Months,Certification_Count,Monthly_KPI
TCS,100424,3,142,42,1,12,1,9,1383202,128877,12,233,18,5,4,85.25,30,30,1,1.05,4796080,2728671,3,11,171,1565,17,1,4,9,8496,31,15,63.03
Alphabet,100425,21,150,37,1,7,4,3,969418,144725,19,113,24,3,5,98.75,11,38,4,4.35,3371360,1483248,257,193,161,1313,7,15,17,14,5128,18,7,94.63
Capgemini,100426,28,144,25,0,3,2,3,581646,65919,38,294,14,19,3,88.62,12,3,3,2.14,2050046,267002,45,34,140,1335,12,20,13,18,6527,44,10,50.05
Microsoft,100427,15,124,39,0,17,3,3,1909400,61834,41,173,20,19,1,85.91,30,21,5,2.81,3584066,4501571,177,141,209,1035,19,20,17,6,5306,3,9,75.94
Cisco,100428,3,114,31,1,5,3,9,743901,83048,42,124,3,0,4,83.8,1,12,5,1.81,512075,914677,263,339,130,1566,16,8,5,2,1654,12,10,98.22
Microsoft,100429,13,133,50,1,28,1,6,2740917,316089,27,271,15,25,5,79.42,27,14,5,1.68,525104,4977538,495,486,175,1354,18,1,16,6,6124,36,7,86.79
SAP,100430,14,109,26,0,1,3,4,321744,24779,3,215,4,25,3,76.75,14,40,0,3.56,2347081,263386,100,334,199,1477,30,1,21,16,3577,2,13,85.8
Amazon,100431,25,175,41,1,16,3,6,1779689,209095,49,21,6,5,5,80.89,23,25,4,2.39,776700,3132778,296,330,144,1282,15,16,12,19,8448,71,6,84.03
Amazon,100432,2,163,31,0,9,3,3,1244526,148038,48,118,20,6,5,92.86,27,16,2,3.99,4541094,2831316,305,136,125,1141,5,12,12,8,3577,10,3,67.22
Amazon,100433,9,164,47,1,22,4,9,2351193,158986,37,104,18,3,3,94.21,11,16,0,4.58,3391760,613623,223,381,178,1345,11,13,10,13,7018,9,13,89.49
Adobe,100434,1,150,39,1,17,1,6,1784268,151333,38,123,12,25,4,87.2,9,19,3,2.82,4036715,1190680,66,268,192,1269,10,8,0,19,9064,15,15,62.85
Oracle,100435,9,144,24,1,5,3,3,870702,56839,30,37,9,3,1,77.72,4,18,3,2.05,2478304,70036,80,492,232,1392,13,5,4,5,8850,66,12,77.56
Salesforce,100436,1,148,21,1,0,4,6,449938,27239,48,49,2,25,2,91.07,5,37,4,1.46,4025425,5025433,62,465,173,1539,24,15,7,5,4933,22,14,54.88
Wipro,100437,26,120,46,1,23,3,9,2354616,167416,33,185,9,14,3,82.85,12,39,0,3.85,441697,328318,192,464,140,1042,16,6,5,10,5535,18,13,85.38
Infosys,100438,4,105,29,1,0,2,6,250691,32363,33,38,18,1,2,79.81,20,37,3,2.81,4111974,1431847,289,353,196,1573,17,1,22,9,3993,12,10,66.88
NVIDIA,100439,6,130,45,1,17,4,1,1936734,186543,56,47,1,16,4,88.46,24,2,2,4.51,2158846,2680045,364,463,177,1103,9,3,22,13,3115,7,12,85.78
NVIDIA,100440,5,106,21,1,2,2,10,407516,48336,40,176,20,25,5,98.34,11,40,3,3.66,1755355,3654069,237,104,180,1329,20,19,11,8,7879,13,14,66.25
Salesforce,100441,17,119,38,1,8,4,7,932344,37762,23,169,23,13,1,78.92,13,24,3,1.56,410046,4470946,422,212,226,1194,23,12,0,14,2117,72,14,85.67
Cisco,100442,10,145,50,0,24,1,10,2395079,232266,12,250,11,20,4,85.31,7,2,0,1.44,4034529,5151235,65,420,216,1296,24,11,6,12,4866,49,5,71.41
SAP,100443,9,110,44,0,17,2,2,1794713,53987,29,21,15,25,1,92.02,29,31,2,3.93,1245363,568149,256,321,217,1006,2,19,21,16,1672,59,7,78.24
NVIDIA,100444,7,112,62,0,35,5,4,3523941,393199,0,107,12,16,5,91.52,5,9,2,4.13,1736545,4049883,182,358,189,1231,8,16,12,11,2055,49,0,83.13
NVIDIA,100445,27,120,36,0,9,2,1,1120755,135432,20,239,20,11,4,82.59,11,39,2,1.63,1571707,3946718,322,94,217,1093,3,19,20,5,8354,35,7,85.05
Amazon,100446,7,113,48,1,26,5,2,2555049,170616,28,240,5,21,3,82.79,22,31,1,3.61,3030610,3050199,235,102,133,1405,6,12,5,3,1235,24,0,93.84
Oracle,100447,1,102,34,1,5,2,4,654783,30385,27,231,16,23,1,83.73,28,11,4,1.35,2785995,2493250,145,12,148,1318,28,17,13,14,4157,30,5,61.78
Oracle,100448,27,164,33,1,9,2,8,1092784,83427,30,175,5,2,3,98.02,14,26,0,2.31,2479881,2836178,198,228,203,1101,5,3,9,16,7276,43,11,50.26
Intel,100449,19,135,60,1,30,4,4,2922620,269016,32,116,19,22,4,87.41,5,18,1,3.22,4516779,1872929,447,131,135,1432,12,20,17,5,5192,44,15,83.69
SAP,100450,16,115,38,0,17,5,4,1921431,145758,29,100,9,14,3,70.08,3,39,2,4.48,2958040,4695431,13,111,225,1516,16,17,15,2,4127,43,12,56.3
IBM,100451,23,112,38,1,14,4,10,1468287,58720,35,243,11,4,1,70.52,8,14,1,4.35,3921517,1216587,358,391,232,1460,10,4,5,8,4198,47,8,91.15
Microsoft,100452,14,106,39,1,14,4,7,1531912,76915,18,33,15,12,1,80.95,9,5,1,2.14,1608798,227276,24,151,233,1326,20,3,22,11,9991,10,15,60.98
Adobe,100453,29,102,50,1,31,3,1,3123114,274169,17,248,8,9,4,88.47,15,18,3,1.98,369375,822844,111,282,229,1403,19,17,7,1,9061,35,4,91.19
Oracle,100454,24,175,30,0,4,4,5,731859,106999,39,34,11,1,5,70.61,10,39,5,1.08,431973,1451980,376,397,161,1561,22,16,21,8,4312,23,11,60.38
Oracle,100455,12,154,62,1,35,1,4,3409557,248799,27,138,10,16,3,85.56,15,3,5,2.01,3014143,3144893,324,188,209,1037,29,13,0,10,1776,61,3,83.94
Capgemini,100456,27,146,29,0,8,3,5,1143526,70934,32,137,15,9,2,92.51,2,10,5,2.25,1730426,3676388,249,471,132,1072,22,3,14,12,8498,52,13,88.37
HCLTech,100457,4,139,58,1,35,4,6,3518603,79850,41,29,13,9,1,71.89,22,25,5,2.39,1839099,2693380,370,194,152,1154,26,10,8,3,3420,51,8,67.11
Wipro,100458,3,147,25,1,1,5,8,319971,20535,14,105,18,21,1,91.62,12,1,3,2.37,1292386,5155976,277,204,239,1301,21,18,22,19,5651,27,13,64.01
Infosys,100459,28,113,25,1,4,3,5,801392,69595,27,80,1,17,4,77.15,4,37,2,4.27,1867016,4761925,12,89,218,1011,13,5,21,6,7594,49,14,69.05
Intel,100460,5,116,26,1,3,3,9,556390,60341,49,109,16,4,3,96.13,21,38,1,4.09,781838,2508386,146,467,140,1433,10,0,5,18,1723,14,8,89.36
HCLTech,100461,3,170,58,1,34,2,7,3482521,371933,42,189,24,1,5,75.69,24,37,5,1.88,4729313,1179334,146,95,178,1550,9,19,22,18,5367,7,5,68.62
Intel,100462,1,115,48,1,29,3,2,2934116,320120,13,138,12,4,5,92.11,1,10,5,1.17,2417700,3567103,326,498,145,1204,26,2,4,4,6860,34,7,74.44
Intel,100463,13,149,53,0,28,5,5,2886708,75284,19,12,20,3,1,77.44,28,13,5,1.35,1110480,3587252,329,36,174,1122,23,19,15,9,3886,26,12,86.29
HCLTech,100464,20,116,63,1,34,4,4,3394913,114167,49,298,13,14,1,93.16,25,9,3,4.89,1813282,3820280,163,462,131,1255,4,8,15,17,4681,41,9,88.95
Accenture,100465,8,136,37,0,9,1,3,1154338,86507,43,161,21,10,2,72.37,21,3,3,3.81,2496407,5067320,173,464,240,1400,13,5,11,12,1450,39,13,85.01
Apple,100466,12,133,30,1,1,4,6,491552,54883,17,180,20,0,3,97.9,18,33,4,4.17,4770984,5356479,259,310,142,1324,12,7,22,2,6211,45,9,66.19
Amazon,100467,19,103,49,0,23,4,9,2293673,266673,17,261,5,13,5,89.95,23,15,5,2.4,3947661,2836529,342,15,206,1402,9,13,15,10,3595,2,10,88.6
Salesforce,100468,29,126,44,0,23,2,3,2497366,264023,47,149,17,23,5,81.81,29,27,0,1.14,1388007,190139,393,111,131,1527,24,13,6,18,1516,18,6,70.26
TCS,100469,22,159,29,0,4,3,5,690302,62244,3,233,6,25,1,79.96,13,31,5,3.13,502047,2084243,366,296,163,1490,3,4,8,4,7667,12,10,95.56
Oracle,100470,30,156,35,0,9,1,6,1118127,64609,43,283,5,21,1,77.13,26,5,3,3.87,2285761,1599400,449,64,143,1449,20,3,1,12,1281,53,5,95.73
IBM,100471,11,156,38,1,14,2,10,1587114,166727,58,175,4,22,5,70.6,7,27,2,4.36,1477258,546320,194,197,139,1579,28,1,2,1,7095,3,7,54.37
NVIDIA,100472,5,137,58,0,34,1,10,3306466,308029,39,12,2,20,4,75.37,8,5,2,1.87,1307738,734345,482,288,211,1106,15,6,2,12,7981,41,8,70.12
SAP,100473,7,104,45,0,17,1,1,1787796,176597,60,181,11,14,4,99.17,14,26,5,4.42,4042764,4087483,226,177,233,1537,16,3,10,18,1348,40,8,84.88
Capgemini,100474,27,122,58,0,28,4,3,2925077,327457,60,116,5,16,5,81.04,2,7,4,3.41,2686019,1184487,176,382,198,1240,25,13,5,8,1843,24,11,89.42
HCLTech,100475,18,171,45,1,15,5,1,1611893,147226,11,288,15,25,4,97.62,25,40,2,3.03,907277,4691784,39,154,183,1192,8,18,20,13,6892,54,3,67.82
Capgemini,100476,14,122,55,1,27,2,1,2811653,75520,56,168,14,19,1,99.16,24,30,5,1.08,2140111,2366530,461,223,171,1156,15,18,3,15,5936,12,8,66.07
Oracle,100477,22,177,27,1,2,1,5,594035,77910,56,159,19,11,3,87.97,14,35,2,4.54,3118089,4738263,208,21,163,1239,12,2,3,16,7645,51,0,97.25
Oracle,100478,5,165,56,1,26,2,10,2756029,158985,54,261,24,5,2,90.59,21,27,5,2.18,3085948,5271299,380,83,232,1079,17,9,16,19,2241,52,13,87.82
HCLTech,100479,16,151,55,0,35,3,4,3564298,153855,7,103,17,20,2,80.83,4,3,1,3.33,4928409,305446,102,374,120,1478,14,1,21,4,5272,57,13,54.82
Cisco,100480,25,163,38,0,10,2,6,1237495,49126,23,68,18,10,1,85.23,23,31,5,1.76,2000209,3014493,0,136,219,1064,4,8,5,13,1930,71,7,86.24
Wipro,100481,27,162,57,1,28,1,2,2943801,249621,47,262,25,10,4,87.63,28,5,1,1.89,4833385,2729223,236,482,189,1259,26,10,4,3,8928,70,15,67.5
Oracle,100482,13,135,38,0,11,2,1,1242771,58584,52,121,2,0,1,98.98,29,19,5,4.04,980069,1391830,299,433,232,1432,6,13,12,3,3884,3,15,67.52
Cisco,100483,15,156,52,1,33,2,10,3346338,86426,42,155,11,22,1,72.99,22,20,4,1.74,4610193,4230575,303,250,146,1538,30,17,14,20,1075,27,12,52.13
Apple,100484,15,155,30,0,9,1,10,1042744,106111,55,198,15,1,5,96.96,3,0,4,3.69,3417612,1860736,278,121,168,1028,19,0,12,8,2777,57,13,79.3
Alphabet,100485,16,151,29,0,1,3,1,414672,46169,52,126,7,6,4,98,26,0,3,3.92,1891400,1515962,147,302,200,1074,26,19,0,8,4265,41,7,60.7
SAP,100486,15,108,64,0,34,5,1,3284720,300389,30,115,18,21,4,70.71,9,10,0,1.74,1162916,883128,309,207,204,1317,25,10,14,7,4459,17,0,90.44
Amazon,100487,2,128,42,1,21,1,5,2171322,142623,24,91,11,19,3,72.95,25,24,1,1.85,1251935,580052,476,496,203,1513,13,15,5,3,9240,42,14,66.63
Oracle,100488,12,151,26,0,6,3,4,821624,83815,31,202,24,19,5,87.31,29,31,3,3.63,1392939,5115143,181,413,190,1221,9,11,22,8,1427,71,3,50.67
Capgemini,100489,1,148,60,0,34,2,6,3316464,104297,27,233,4,17,1,82.85,0,11,2,3.19,2297964,1707199,241,432,224,1597,2,3,22,19,7729,39,3,87.47
Wipro,100490,8,139,52,1,33,1,4,3399351,221311,4,40,4,10,3,90.45,5,3,1,1.2,1668924,3367199,473,385,225,1407,9,7,15,10,1099,49,9,88.56
Tesla,100491,25,161,51,0,24,5,2,2503381,170252,41,182,5,25,3,76.57,11,19,1,2.47,4614348,2179118,439,269,140,1528,24,6,17,8,9913,21,1,53.84
Apple,100492,30,126,28,0,6,5,3,975319,78262,23,205,10,17,2,73.13,17,7,4,2.83,180000,1357811,308,379,136,1497,18,8,21,18,3175,41,4,85.81
IBM,100493,24,155,42,0,13,3,6,1396414,30620,27,69,16,0,1,82.52,23,16,0,4.59,2956925,4628357,148,437,228,1428,7,0,13,14,5579,59,10,93.69
Adobe,100494,25,164,32,1,2,5,4,585499,75854,25,161,10,25,4,77.12,24,19,0,2.24,932524,441548,68,44,146,1030,15,1,2,18,8759,12,14,95.37
SAP,100495,26,100,43,1,16,2,7,1863047,179920,43,176,23,3,4,72.23,9,23,3,1.51,4824003,3960704,176,444,156,1312,3,11,4,1,7686,66,1,65.7
Capgemini,100496,18,100,36,0,11,1,4,1192496,104000,5,14,9,17,4,76.28,25,39,2,3.36,669499,3798525,157,432,230,1385,11,14,9,6,1261,63,8,54.09
TCS,100497,25,137,34,1,8,2,10,964449,113533,29,112,8,13,4,75.11,20,29,0,2.87,4302330,4981207,365,414,184,1220,30,8,9,13,1303,6,9,66.32
Intel,100498,2,107,36,1,17,3,5,1733771,187997,7,66,14,11,5,92.96,15,14,5,1.4,2401827,751703,16,310,178,1407,7,20,7,14,3589,39,1,95.43
Salesforce,100499,12,154,22,0,1,2,4,361286,74513,1,134,19,11,5,80.05,29,40,5,1.06,214204,3250369,72,48,174,1463,27,1,13,20,3212,8,15,60.43
TCS,100500,30,149,56,0,26,5,9,2629399,215165,41,10,1,1,4,89.19,1,9,1,3.78,3633195,5407917,333,411,137,1158,11,4,2,20,4506,71,1,55.68
HCLTech,100501,23,134,30,0,3,2,2,621065,36051,50,274,3,2,2,94.9,11,4,1,1.73,199466,119545,95,2,122,1387,14,8,19,2,3347,4,1,94.98
Apple,100502,26,172,31,0,8,2,9,1011332,123724,58,284,18,18,5,96.31,16,38,3,2.26,2641195,1820463,0,412,207,1552,21,14,9,6,8028,54,13,75.53
Infosys,100503,9,177,52,0,27,4,5,2809802,64326,36,85,14,21,1,93.49,0,38,2,3.47,2617510,4201895,405,86,171,1083,5,14,19,3,4782,40,7,62.6
Infosys,100504,27,128,37,1,17,2,5,1857300,73720,15,246,4,7,1,80.78,14,32,4,4.93,4973786,3732116,460,193,215,1323,21,1,2,6,8159,49,13,73.01
Cisco,100505,4,166,48,0,20,4,5,2240848,266590,17,156,25,16,5,75.52,24,15,2,4.45,4129392,4645881,54,128,164,1158,2,2,8,13,5961,9,13,61.65
HCLTech,100506,13,162,55,1,25,5,1,2649164,304865,53,250,2,11,5,92.06,30,25,3,3.54,2118251,5485549,333,427,192,1346,20,14,16,6,8909,8,13,64.98
Amazon,100507,18,129,59,1,32,1,4,3217319,233435,52,66,11,18,3,86.13,13,1,2,3.66,1292770,3511352,77,280,240,1308,19,11,4,10,3379,56,2,53.8
Accenture,100508,11,102,45,0,18,3,4,2062335,162991,32,182,19,6,3,84.46,23,22,0,3.44,4298980,3527069,455,429,204,1470,17,12,8,19,1825,49,9,98.3
Oracle,100509,26,140,29,1,7,4,7,1072554,95526,10,204,22,17,4,70.93,7,20,1,1.18,1604633,2025445,295,172,228,1154,9,12,15,6,3783,18,13,59.74
Apple,100510,26,108,49,1,24,3,7,2508690,278820,29,217,24,23,5,77.88,29,16,1,1.51,741610,1788004,239,39,185,1135,11,18,5,19,1859,13,1,93.61
NVIDIA,100511,14,104,40,1,21,4,2,2206018,250677,35,271,18,2,5,97.27,30,11,1,4.46,756151,4115372,276,339,209,1466,7,15,3,16,9102,28,6,69.34
Wipro,100512,10,113,39,0,15,4,8,1615816,69982,25,62,21,9,1,95.05,16,39,0,1.96,898923,2601154,250,197,159,1357,14,4,0,12,1732,39,12,55.26
Intel,100513,11,120,40,1,10,5,9,1301693,56293,48,186,20,25,2,91.07,5,30,1,4.84,3860005,5081940,233,308,198,1452,26,15,9,11,1032,71,15,95.35
IBM,100514,11,152,39,0,19,5,5,1937381,163044,4,59,18,1,4,99.63,19,27,2,1.26,4254330,3178765,231,458,153,1247,3,4,5,8,1008,63,13,76.93
Oracle,100515,23,122,51,1,27,4,10,2841137,248316,36,188,19,4,4,71.76,20,25,1,4.13,2171336,2272889,123,453,130,1401,6,14,10,7,4444,27,0,75.1
Oracle,100516,3,101,49,0,26,1,4,2564730,299373,55,56,5,7,5,81.48,9,3,2,4.74,1754789,2673052,223,438,155,1046,3,1,9,11,9839,72,11,78.84
Adobe,100517,17,180,32,1,12,1,1,1280492,98896,34,188,15,6,3,87.78,19,2,3,1.89,1080756,3016237,307,188,161,1109,12,11,11,18,9566,44,2,51.37
Alphabet,100518,9,104,30,0,2,5,1,506434,28368,41,47,19,14,1,80.29,29,37,3,2.63,1697730,4001518,69,475,229,1300,15,17,14,9,4812,31,14,83.9
Accenture,100519,11,121,37,0,7,1,6,917583,60265,13,200,2,11,2,94.99,14,35,0,4.26,3771708,3140692,293,314,194,1512,9,15,7,13,6307,19,11,59.13
SAP,100520,10,104,50,1,25,3,2,2573023,77663,29,132,8,19,1,71.51,18,2,3,1.14,3553476,1612099,48,449,169,1196,26,1,10,13,5041,61,12,84.83
Alphabet,100521,20,172,43,1,16,1,6,1846378,141218,24,181,5,18,3,89.16,25,0,4,2.16,4554050,3081058,489,498,154,1246,29,17,16,2,8607,53,2,63.31
HCLTech,100522,29,135,51,1,27,3,6,2748604,308803,1,155,24,7,5,82.51,25,39,1,2.82,3370406,2280170,172,379,177,1076,26,15,6,20,4515,8,5,74.76
NVIDIA,100523,23,154,58,0,28,4,7,2918949,338457,1,157,9,19,5,92.31,24,24,2,2.24,3329626,2086299,445,368,162,1071,2,16,12,4,5080,28,5,82.15
Alphabet,100524,13,148,29,0,0,2,7,377116,24140,31,215,7,12,2,94.63,7,11,4,4.55,4136167,2523188,216,220,134,1135,24,9,1,17,1344,34,12,69.96
Salesforce,100525,3,109,21,1,1,5,10,492472,49910,60,152,2,19,2,93.28,15,7,1,4.54,2503634,3368449,345,344,153,1157,17,0,19,17,3749,49,2,55.84
Cisco,100526,25,150,54,1,26,4,5,2570991,158005,42,95,25,19,3,90.35,16,40,5,4.13,2084013,5452263,251,214,211,1085,23,12,8,2,2967,5,9,77.32
IBM,100527,16,154,36,1,7,1,2,1054830,127716,11,229,5,16,5,96.78,21,32,0,2.41,4148660,2703299,181,282,199,1494,22,13,14,12,6936,50,0,72.93
Intel,100528,17,132,25,0,3,5,7,526740,91948,0,0,5,1,5,88.51,27,30,0,3.17,4643232,4229727,32,110,223,1043,6,14,11,5,7692,55,8,95.94
TCS,100529,30,179,53,0,29,2,7,2872881,311403,59,254,22,24,5,89.72,11,8,1,1.18,4795779,462591,95,401,129,1016,15,17,2,12,2141,50,14,88.1
NVIDIA,100530,8,169,43,0,14,1,7,1474227,101177,10,179,19,12,3,79.04,23,37,0,3.1,1596121,3960027,14,337,232,1314,17,14,22,5,2478,55,9,53.75
Salesforce,100531,3,166,27,1,6,5,6,963688,25657,2,5,6,8,1,81.05,13,26,4,1.05,1524274,1951237,367,62,207,1469,6,3,0,9,3761,42,0,68.6
HCLTech,100532,13,177,59,1,32,4,6,3316299,149395,12,215,23,3,2,88.26,3,21,5,4.96,1012855,2981153,207,37,131,1116,10,19,22,19,1517,67,2,77.16
Microsoft,100533,9,112,65,1,35,2,7,3577313,310542,22,199,8,13,4,91.19,10,4,2,2.58,2029484,2686815,436,191,212,1584,7,12,20,18,7727,64,5,78.8
IBM,100534,10,117,58,0,28,3,8,2837703,79883,39,284,16,8,1,80.67,8,4,1,1.98,4030234,5103704,255,193,240,1379,5,14,17,16,4058,60,12,87.06
Apple,100535,21,114,50,0,24,2,2,2450455,74722,55,295,16,4,1,91.25,3,40,3,2.57,160885,3351190,107,205,147,1029,7,7,2,11,4163,70,3,81.43
Amazon,100536,17,144,59,1,31,1,3,3136585,91796,30,59,10,21,1,77.05,23,6,0,2.08,1292678,5313671,105,273,228,1548,17,11,4,16,2104,30,2,53.81
SAP,100537,10,177,31,0,8,4,3,1137371,153864,45,57,19,8,5,86.87,6,38,3,4.21,4732362,874721,494,215,181,1109,12,7,10,19,5906,32,3,76.77
NVIDIA,100538,15,149,47,0,18,4,7,1899845,87627,8,128,15,7,1,77.44,12,1,4,3.01,1389733,3030117,448,408,170,1567,19,15,10,19,4503,50,3,90.07
Cisco,100539,13,124,31,0,3,5,1,531561,51292,50,233,14,18,3,71.1,17,32,4,1.19,1012784,3469498,111,35,176,1470,20,7,22,19,2630,41,8,61.41
Accenture,100540,17,104,39,0,19,3,8,1967120,226571,14,136,13,20,5,74.18,1,20,2,1.61,576220,2691399,492,284,219,1543,21,16,3,13,4524,72,2,84.71
Oracle,100541,2,103,52,0,29,3,8,3023062,169587,36,297,10,20,2,78.1,23,16,4,3.69,3542831,3105537,380,61,148,1197,12,3,16,10,7752,9,15,58.78
Amazon,100542,5,123,59,0,35,3,1,3586390,369295,4,74,13,10,5,98.88,16,29,3,3.01,558046,1017189,116,187,136,1225,13,10,2,2,6649,14,14,58.52
HCLTech,100543,5,131,39,1,12,2,8,1454470,150083,27,289,14,17,4,70.67,24,33,3,1.13,801784,802546,398,373,234,1302,8,5,0,17,4771,39,1,68.24
Capgemini,100544,12,120,22,0,2,1,6,447944,59286,54,267,11,3,2,73.78,20,9,0,2.44,517831,1370073,52,375,201,1161,6,2,12,18,3420,68,13,87.32
NVIDIA,100545,4,100,54,1,33,2,5,3307997,270920,29,15,13,12,4,73.34,11,31,1,2.29,1366507,3514333,4,181,191,1439,10,9,18,5,6098,48,15,96.12
NVIDIA,100546,10,172,40,0,11,3,7,1207424,54833,54,133,9,11,2,76.28,12,8,2,4.1,1619709,4274687,110,328,188,1473,18,17,19,4,5415,34,0,77.63
Microsoft,100547,24,169,26,0,6,2,6,889989,59706,24,230,16,23,1,90.55,16,5,2,4.39,3236401,1657453,476,422,156,1045,10,0,14,2,8194,37,4,68.09
Meta,100548,5,168,30,0,0,2,10,444839,68596,40,141,8,19,3,70.41,19,39,4,1.68,3942469,3482434,240,176,204,1592,13,3,16,18,8169,27,3,94.45
Apple,100549,14,113,56,1,26,2,2,2563027,171815,7,3,20,12,3,95.55,1,10,0,2.65,226061,2168098,131,81,204,1574,9,5,13,18,6456,4,7,66.28
Salesforce,100550,28,151,43,1,18,1,8,2063903,42247,49,149,23,0,1,74.59,18,11,2,3.84,3128855,656846,496,459,200,1467,30,10,17,8,2574,19,3,56.84
SAP,100551,4,165,56,1,35,3,3,3586518,92315,46,35,22,17,1,84.41,0,17,3,4.35,3801163,1331344,128,345,151,1508,8,10,13,10,5800,71,8,58.18
TCS,100552,17,150,41,1,18,5,2,1921497,231213,40,198,10,7,5,99.91,29,17,3,2.58,2587407,4107409,10,60,204,1260,20,20,2,16,3085,40,7,54.67
IBM,100553,21,164,36,0,9,5,3,1254005,112867,17,292,15,14,3,79.52,9,21,1,1.8,3387355,4376682,280,102,168,1195,24,16,3,4,7150,38,12,95.03
Meta,100554,17,117,37,0,9,3,3,1047108,110575,57,33,7,10,4,97.39,1,8,1,3.47,3465796,1681785,133,283,166,1548,10,15,1,18,8357,18,6,59.06
IBM,100555,3,170,42,0,12,4,6,1380263,112885,33,281,14,19,4,76.79,24,23,5,4.01,3970704,1093059,256,212,140,1533,8,1,15,6,3888,38,8,71.45
TCS,100556,21,124,56,1,26,3,3,2596835,231903,59,85,16,22,4,79.12,19,38,5,2.45,2995053,3915713,57,191,193,1200,16,2,0,6,4185,49,9,53.16
Wipro,100557,19,155,35,0,16,4,9,1735035,156540,25,299,12,16,4,75.96,26,14,3,2.21,3070950,909254,174,238,145,1187,27,11,4,15,3196,30,13,79.78
Microsoft,100558,7,133,42,1,19,4,9,2096689,125220,16,157,16,8,2,80.44,3,15,0,3.29,1351388,2389910,413,328,181,1082,7,12,0,1,9759,43,9,55.12
Capgemini,100559,15,121,41,1,17,5,7,1883729,128223,53,186,22,7,3,95.22,12,8,5,1.96,439951,2742823,261,490,212,1514,16,8,21,18,9406,63,9,99.17
Capgemini,100560,4,112,63,1,33,4,4,3364010,177337,36,200,18,7,2,91.14,2,1,3,3,3068582,3136673,437,217,179,1147,25,0,14,8,2283,44,4,80.86
Intel,100561,30,174,34,1,9,5,10,1199649,111900,20,107,10,5,4,78.05,10,34,3,1.71,4843921,5384916,222,446,142,1515,2,9,8,6,6143,9,3,61.06
Amazon,100562,29,144,37,0,8,5,10,1015578,106217,39,265,7,17,5,76.6,1,6,3,2.06,3081291,3489615,322,320,151,1369,30,14,21,12,5239,21,10,62.03
HCLTech,100563,1,116,27,1,0,4,6,404551,41206,48,237,14,12,3,71.68,17,37,4,3.33,3179119,5196015,234,250,166,1457,12,6,6,5,3201,23,4,87.99
SAP,100564,29,121,30,1,4,4,5,672279,58812,48,72,12,3,1,96.94,7,24,5,4.78,2424354,1326974,293,375,183,1349,24,18,17,4,6852,21,14,50.46
Tesla,100565,17,132,36,1,17,2,4,1793919,120576,36,97,5,10,3,93.8,21,17,5,3.37,1689041,1049608,175,308,202,1270,16,14,20,16,2980,35,3,57.46
SAP,100566,25,102,48,0,22,2,1,2389401,164310,5,146,23,4,3,92.53,19,24,0,3.18,476162,854133,43,427,186,1595,21,9,18,6,4174,60,6,70.12
Apple,100567,23,131,27,0,7,3,7,1053922,114438,58,52,10,5,5,90.34,10,15,0,2.59,381916,4160267,184,401,160,1212,12,7,16,13,1748,20,0,80.21
HCLTech,100568,12,114,32,1,13,5,2,1459992,52478,6,188,5,16,1,75.06,29,18,5,1.73,1733025,455091,122,228,205,1051,18,18,8,15,1497,22,8,87.12
HCLTech,100569,19,175,45,0,17,5,9,1909203,64797,54,107,7,20,1,84.3,6,26,5,1.79,867743,446783,285,277,226,1126,8,4,10,14,3896,60,9,80.67
Adobe,100570,3,140,23,1,0,1,6,221601,14045,10,59,10,2,2,78.25,11,8,5,3.75,2502397,2154912,54,454,209,1454,14,11,21,19,4830,62,5,78.86
IBM,100571,9,103,27,1,5,2,9,791098,90291,9,107,15,3,4,83.68,29,13,4,1.91,1277904,2909100,421,31,176,1448,7,15,5,5,1165,56,13,65.26
NVIDIA,100572,4,155,28,0,2,2,9,481322,50712,11,45,9,14,2,96.53,25,15,1,2.55,3460526,3014792,425,73,161,1363,19,2,16,7,7644,53,4,55.05
Oracle,100573,10,130,51,0,24,5,3,2589382,135674,30,56,19,17,2,77.78,15,8,5,1.22,1577139,2153638,123,150,194,1513,11,17,6,13,7111,1,8,54.88
Oracle,100574,6,101,51,1,26,5,2,2775797,278098,26,16,22,12,5,87.16,9,17,3,4.91,3528567,705579,307,437,170,1281,19,10,12,16,9275,49,9,77.62
IBM,100575,23,131,48,1,18,4,1,1827691,135067,47,204,13,21,3,70.27,18,38,5,2.19,894719,1127555,170,137,190,1232,20,9,3,20,4876,69,10,81.32
Salesforce,100576,12,158,25,0,3,4,3,495524,63454,1,53,17,3,4,87.36,25,33,4,1.9,1094470,3884752,459,244,201,1314,8,0,18,14,3267,51,8,60.6
Accenture,100577,12,129,56,0,27,5,10,2655821,96062,20,294,5,0,1,76.91,9,37,1,2.6,2510428,3898956,229,426,164,1148,10,10,22,5,3402,15,4,84.27
Adobe,100578,20,168,52,0,24,5,1,2568479,199113,31,67,3,1,3,87.74,28,33,2,2.86,2298175,5464529,332,266,196,1107,19,10,22,9,2376,45,15,57.56
